bench,optionset,mliropt_args,mlir_opt_version,flag_did_nothing,correct,error
cholesky,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm21,yes,yes,
correlation,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm21,no,yes,
covariance,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm21,yes,yes,
deriche,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm21,yes,yes,
doitgen,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm21,yes,yes,
fdtd-2d,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm21,no,yes,
floyd-warshall,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm21,yes,yes,
gemm,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm21,no,yes,
gemver,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm21,no,yes,
gesummv,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm21,yes,yes,
gramschmidt,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm21,no,yes,
heat-3d,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm21,yes,yes,
jacobi-1d,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm21,yes,yes,
jacobi-2d,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm21,yes,yes,
lu,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm21,yes,yes,
ludcmp,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm21,yes,yes,
mvt,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm21,yes,yes,
nussinov,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm21,yes,yes,
seidel-2d,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm21,yes,yes,
symm,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm21,no,yes,
syr2k,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm21,no,yes,
syrk,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm21,no,yes,
trisolv,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm21,yes,yes,
trmm,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm21,yes,yes,
2mm,affine-normalize, --affine-loop-normalize,llvm21,yes,yes,
3mm,affine-normalize, --affine-loop-normalize,llvm21,yes,yes,
atax,affine-normalize, --affine-loop-normalize,llvm21,yes,yes,
bicg,affine-normalize, --affine-loop-normalize,llvm21,yes,yes,
cholesky,affine-normalize, --affine-loop-normalize,llvm21,yes,yes,
correlation,affine-normalize, --affine-loop-normalize,llvm21,no,yes,
covariance,affine-normalize, --affine-loop-normalize,llvm21,no,yes,
deriche,affine-normalize, --affine-loop-normalize,llvm21,yes,yes,
doitgen,affine-normalize, --affine-loop-normalize,llvm21,yes,yes,
fdtd-2d,affine-normalize, --affine-loop-normalize,llvm21,no,yes,
floyd-warshall,affine-normalize, --affine-loop-normalize,llvm21,yes,yes,
gemm,affine-normalize, --affine-loop-normalize,llvm21,yes,yes,
gemver,affine-normalize, --affine-loop-normalize,llvm21,yes,yes,
gesummv,affine-normalize, --affine-loop-normalize,llvm21,yes,yes,
gramschmidt,affine-normalize, --affine-loop-normalize,llvm21,no,yes,
heat-3d,affine-normalize, --affine-loop-normalize,llvm21,no,yes,
jacobi-1d,affine-normalize, --affine-loop-normalize,llvm21,no,yes,
jacobi-2d,affine-normalize, --affine-loop-normalize,llvm21,no,yes,
lu,affine-normalize, --affine-loop-normalize,llvm21,no,yes,
ludcmp,affine-normalize, --affine-loop-normalize,llvm21,no,yes,
mvt,affine-normalize, --affine-loop-normalize,llvm21,yes,yes,
nussinov,affine-normalize, --affine-loop-normalize,llvm21,no,yes,
seidel-2d,affine-normalize, --affine-loop-normalize,llvm21,no,yes,
symm,affine-normalize, --affine-loop-normalize,llvm21,yes,yes,
syr2k,affine-normalize, --affine-loop-normalize,llvm21,yes,yes,
syrk,affine-normalize, --affine-loop-normalize,llvm21,yes,yes,
trisolv,affine-normalize, --affine-loop-normalize,llvm21,yes,yes,
trmm,affine-normalize, --affine-loop-normalize,llvm21,no,yes,
2mm,affine-tile," --affine-loop-tile=""tile-size=32""",llvm21,no,yes,
3mm,affine-tile," --affine-loop-tile=""tile-size=32""",llvm21,no,yes,
atax,affine-tile," --affine-loop-tile=""tile-size=32""",llvm21,no,yes,
bicg,affine-tile," --affine-loop-tile=""tile-size=32""",llvm21,no,yes,
cholesky,affine-tile," --affine-loop-tile=""tile-size=32""",llvm21,no,yes,
correlation,affine-tile," --affine-loop-tile=""tile-size=32""",llvm21,no,yes,
covariance,affine-tile," --affine-loop-tile=""tile-size=32""",llvm21,no,yes,
deriche,affine-tile," --affine-loop-tile=""tile-size=32""",llvm21,no,yes,
doitgen,affine-tile," --affine-loop-tile=""tile-size=32""",llvm21,no,yes,
fdtd-2d,affine-tile," --affine-loop-tile=""tile-size=32""",llvm21,no,yes,
floyd-warshall,affine-tile," --affine-loop-tile=""tile-size=32""",llvm21,no,no,tree_difference
gemm,affine-tile," --affine-loop-tile=""tile-size=32""",llvm21,no,yes,
gemver,affine-tile," --affine-loop-tile=""tile-size=32""",llvm21,no,yes,
gesummv,affine-tile," --affine-loop-tile=""tile-size=32""",llvm21,no,yes,
gramschmidt,affine-tile," --affine-loop-tile=""tile-size=32""",llvm21,no,yes,
heat-3d,affine-tile," --affine-loop-tile=""tile-size=32""",llvm21,no,yes,
jacobi-1d,affine-tile," --affine-loop-tile=""tile-size=32""",llvm21,no,yes,
jacobi-2d,affine-tile," --affine-loop-tile=""tile-size=32""",llvm21,no,yes,
lu,affine-tile," --affine-loop-tile=""tile-size=32""",llvm21,no,yes,
ludcmp,affine-tile," --affine-loop-tile=""tile-size=32""",llvm21,no,yes,
mvt,affine-tile," --affine-loop-tile=""tile-size=32""",llvm21,no,yes,
nussinov,affine-tile," --affine-loop-tile=""tile-size=32""",llvm21,yes,yes,
seidel-2d,affine-tile," --affine-loop-tile=""tile-size=32""",llvm21,no,no,tree_difference
symm,affine-tile," --affine-loop-tile=""tile-size=32""",llvm21,no,yes,
syr2k,affine-tile," --affine-loop-tile=""tile-size=32""",llvm21,no,yes,
syrk,affine-tile," --affine-loop-tile=""tile-size=32""",llvm21,no,yes,
trisolv,affine-tile," --affine-loop-tile=""tile-size=32""",llvm21,no,yes,
trmm,affine-tile," --affine-loop-tile=""tile-size=32""",llvm21,no,yes,
2mm,affine-unroll, --affine-loop-unroll,llvm21,no,yes,
3mm,affine-unroll, --affine-loop-unroll,llvm21,no,yes,
atax,affine-unroll, --affine-loop-unroll,llvm21,no,yes,
bicg,affine-unroll, --affine-loop-unroll,llvm21,no,yes,
cholesky,affine-unroll, --affine-loop-unroll,llvm21,no,yes,
correlation,affine-unroll, --affine-loop-unroll,llvm21,no,yes,
covariance,affine-unroll, --affine-loop-unroll,llvm21,no,yes,
deriche,affine-unroll, --affine-loop-unroll,llvm21,no,yes,
doitgen,affine-unroll, --affine-loop-unroll,llvm21,no,yes,
